level,component_reference,component_name,component_quantity,parent_bom_reference,parent_bom_name,has_child_bom
3,M00540,"GX12 male 5 pins output 45cm, panel mount (VFD, Laser)",2.00,M00298,PRO - Control Unit,False
3,M00537,"GX12 male 2 pins aux 45cm, panel mount (Safety Enclosure)",2.00,M00298,PRO - Control Unit,False
3,M00530,Fuse T slow 10A,1.00,M00298,PRO - Control Unit,False
3,M00744,"Rocker switch DPST, panel mount",1.00,M00298,PRO - Control Unit,False
3,M00689,Motor Driver 2DM556S - PRO,4.00,M00298,PRO - Control Unit,False
3,M01729,"Dust Filter Mesh (""M""), 7cmx7cmx0.375mm, 0.5mm aperture",1.00,M00298,PRO - Control Unit,False
3,M00918,"XLR 4 pole female panel M3, Pre-wired 18cm breakout",4.00,M00298,PRO - Control Unit,False
3,M00559,IDC Adapter PCB & Ribbon - 10-pin - 90°,4.00,M00298,PRO - Control Unit,False
3,M01070,Insulated Crimp Bootlace Ferrule,4.00,M00298,PRO - Control Unit,False
3,M00107,C14 Panel Mount 10A fuse,1.00,M00298,PRO - Control Unit,False
3,M01697,DIN912 M4x12 Black screw,6.00,M00298,PRO - Control Unit,False
3,M00851,USB-A USB-B cable 30cm Elbow type,1.00,M00298,PRO - Control Unit,False
3,M00407,Coloured Washer M3 - Blue,2.00,M00298,PRO - Control Unit,False
3,M00408,Coloured Washer M3 - Green,3.00,M00298,PRO - Control Unit,False
3,M00409,Coloured Washer M3 - Red,3.00,M00298,PRO - Control Unit,False
3,M00410,Coloured Washer M3 - Yellow,2.00,M00298,PRO - Control Unit,False
3,M00718,PWM to Analog Voltage Converter 0-10V,1.00,M00298,PRO - Control Unit,False
2,M00343,PRO-M - Mechanical Elements Box,1.00,M00342,PRO-M - Main Box 1/4,True
3,M00063,Angle Bracket 60 B-Type Groove 8,10.00,M00343,PRO-M - Mechanical Elements Box,False
3,M00621,Linear Block - H20B,6.00,M00343,PRO-M - Mechanical Elements Box,False
3,M00622,Linear Block - W20A Block (Flange),4.00,M00343,PRO-M - Mechanical Elements Box,False
3,M00704,Nut Housing DSG16H,4.00,M00343,PRO-M - Mechanical Elements Box,False
3,M00511,FF12 Bearing Support,4.00,M00343,PRO-M - Mechanical Elements Box,False
3,M00512,FK12 Bearing Support,4.00,M00343,PRO-M - Mechanical Elements Box,False
3,M00301,PRO - DIN912 M4x12 Black screw Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M01697,DIN912 M4x12 Black screw,7.00,M00301,PRO - DIN912 M4x12 Black screw Bag,False
3,M00302,PRO - DIN912 M4x16 Black screw Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M01698,DIN912 M4x16 Black screw,2.00,M00302,PRO - DIN912 M4x16 Black screw Bag,False
3,M00303,PRO - DIN912 M4x20 Black screw Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00430,DIN912 M4x20 Black screw,4.00,M00303,PRO - DIN912 M4x20 Black screw Bag,False
3,M00304,PRO - DIN912 M4x45 Black screw Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00432,DIN912 M4x45 Black Screw,11.00,M00304,PRO - DIN912 M4x45 Black screw Bag,False
3,M00305,PRO - DIN912 M4x55 Black screw Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00433,DIN912 M4x55 Black Screw,15.00,M00305,PRO - DIN912 M4x55 Black screw Bag,False
3,M00306,PRO - DIN912 M5x12 Black screw Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00435,DIN912 M5x12 Black screw,23.00,M00306,PRO - DIN912 M5x12 Black screw Bag,False
3,M00307,PRO - DIN912 M5x25 Black screw Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00439,DIN912 M5x25 Black screw,15.00,M00307,PRO - DIN912 M5x25 Black screw Bag,False
3,M00308,PRO - DIN912 M5x40 Black screw Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00442,DIN912 M5x40 Black screw,15.00,M00308,PRO - DIN912 M5x40 Black screw Bag,False
3,M00309,PRO - DIN912 M6x10 Black screw Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M01716,DIN912 M6x10 Black screw,5.00,M00309,PRO - DIN912 M6x10 Black screw Bag,False
3,M00310,PRO - DIN912 M6x16 Black screw Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M01704,DIN912 M6x16 Black screw,71.00,M00310,PRO - DIN912 M6x16 Black screw Bag,False
3,M00311,PRO - DIN912 M6x20 Black screw Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00451,DIN912 M6x20 Black screw,46.00,M00311,PRO - DIN912 M6x20 Black screw Bag,False
3,M01646,PRO - DIN912 M6x25 Screw Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M01748,DIN912 M6x25 Black screw,4.00,M01646,PRO - DIN912 M6x25 Screw Bag,False
3,M00312,PRO - I-Type Sliding Nut M4 Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00554,I-Type Sliding Nut M4,3.00,M00312,PRO - I-Type Sliding Nut M4 Bag,False
3,M00315,PRO - Lock Nut DIN985 M5 Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00632,Lock Nut DIN985 M5,15.00,M00315,PRO - Lock Nut DIN985 M5 Bag,False
3,M00316,PRO - Lock Nut DIN985 M6 Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00630,Lock Nut DIN985 M6,4.00,M00316,PRO - Lock Nut DIN985 M6 Bag,False
3,M00314,PRO - Lock Nut DIN985 M4 Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00629,Lock Nut DIN985 M4,38.00,M00314,PRO - Lock Nut DIN985 M4 Bag,False
3,M00313,PRO - I-Type Sliding Nut M6 Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00556,I-Type Sliding Nut M6,71.00,M00313,PRO - I-Type Sliding Nut M6 Bag,False
3,M00299,PRO - DIN9021 Washer M4x12 Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00423,DIN9021 Washer M4x12,15.00,M00299,PRO - DIN9021 Washer M4x12 Bag,False
3,M00300,PRO - DIN9021 Washer M6x18 Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
